16-Jun-2022 SHow Spectra 
Wavelength,UHP-T-670-SR,UHP-T-545-LA21,UHP-T-620-SR,UHP-T-405-EP,UHP-T-450-EP,UHP-T-488-SR,UHP-T-520-EP,UHP-T-650-EP
200,0,0,0,0,0,0,0,0
200.5,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0
201.5,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0
202.5,0,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0,0
203.5,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0
204.5,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0
205.5,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0
206.5,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0
207.5,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0
208.5,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0
209.5,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0
210.5,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0
211.5,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0
212.5,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0
213.5,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0
214.5,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0
215.5,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0
216.5,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0
217.5,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0
218.5,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0
219.5,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0
220.5,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0
221.5,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0
222.5,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0
223.5,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0
224.5,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0
225.5,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0
226.5,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0
227.5,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0
228.5,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0
229.5,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0
230.5,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0
231.5,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0
232.5,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0
233.5,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0
234.5,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0
235.5,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0
236.5,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0
237.5,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0
238.5,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0
239.5,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0
240.5,0,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0,0
241.5,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0
242.5,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0
243.5,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0
244.5,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0
245.5,0,0,0,0.0009070315200000002,0,0,0,0
246,0,0,0,0,0.000031428000000000005,0.00003419461077844312,0,0
246.5,0,0,0,0.000052440777000000005,0,0.00003273952095808384,0,0
247,0,0,0,0.00004103006400000001,0,0.000033224550898203594,2.6190000000000004e-7,2.2320000000000004e-7
247.5,0,0,0,0.000017660119999999992,0,0.00003516467065868264,0,0
248,0,0,0,0.000017012679999999992,0,0.00009657485029940116,0.00006676479999999999,0
248.5,0,0,0,0.000024589879999999988,0,0.0001065389221556886,0.00010229760000000001,0
249,0,0,0,0.000020897199999999994,0,0.00011343712574850296,0.00015052799999999998,0
249.5,0,0,0,0.000022503759999999993,0,0.00012186826347305383,0.00017715199999999997,0.00000198656
250,0,0,1.7496243000000005e-7,0.0007030953900000001,0,0.00010730538922155683,0.0000369664,0
250.5,0,0,0.0000024103332000000006,0.00049430331,0,0.000034922155688622756,2.8260000000000006e-7,0
251,0,0,0.0000021869109000000003,0.00038869308,0,0.000027889221556886227,4.824000000000001e-8,0
251.5,0,0,0,0.00020005218000000003,0,0.00003298203592814372,0,0
252,0,0,0,0.00039282003000000004,0,0.00004122754491017964,2.3490000000000007e-7,0
252.5,0,0,0,0.000012588679999999994,0,0.00003952994011976048,8.433000000000001e-7,0
253,0,0,0.000017945599999999993,0.000014854639999999994,0,0.00013183233532934127,0.0000659456,0
253.5,0,0,0.000007168691199999998,0.00001960235999999999,0,0.00013719760479041912,0.00004147199999999999,0
254,0,0,0.0000024217190399999992,0.00005257267999999997,0,0.00012646706586826343,0,0
254.5,0,0,0,0.00007159955999999997,0,0.00013183233532934127,0,0
255,0,0,0,0.00116753562,0.0000022559999999999997,0.00012110179640718559,0,0
255.5,0,0,0,0.0012061386,0.000024705000000000005,0.00004098502994011977,0,0
256,0,0,0,0.00130519269,0.00005200200000000001,0.000036134730538922165,4.779000000000001e-8,0
256.5,0,0,0,0.00118574442,0.000022113000000000003,0.00004244011976047905,2.880000000000001e-7,0
257,0,0,0,0.0011585527200000001,0.000032238000000000005,0.00004122754491017964,5.355000000000002e-7,0
257.5,0,0,0,0.000056385239999999966,0.000018549000000000005,0.000046077844311377255,5.301000000000001e-7,0
258,0,0,0,0.00005318411999999997,0.0000034239999999999985,0.00014869461077844306,0.00005181440000000001,0
258.5,0,0,0,0.00005192523999999997,0,0.00012876646706586823,0.000046592,0
259,0,0,0,0.00005332799999999998,0,0.00013183233532934127,0.0000549888,0
259.5,0,0,0,0.00005214107999999997,0,0.00012263473053892213,0.00005949439999999999,0
260,0,0,0,0.00108693252,0,0.0001295329341317365,0.000061952,0
260.5,0,0,0,0.00108693252,0,0.00004050000000000001,5.931000000000001e-7,0
261,0,0,0,0.0010866895200000001,0,0.00003977245508982036,6.417000000000001e-7,0
261.5,0,0,0,0.00114155811,0,0.0000392874251497006,6.597000000000001e-7,0
262,0,0,0,0.00117554814,0,0.00003904491017964073,6.498000000000001e-7,4.1310000000000004e-8
