Wavelength,UHP-T-405-EP,UHP-T-435-SR,UHP-T-488-SR,UHP-T-545-LA21,UHP-T-596-LA21,UHP-T-630-SR,UHP-T-670-SR,UHP-T-730-SR
200.5,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0
201.5,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0
202.5,0,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0,0
203.5,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0
204.5,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0
205.5,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0
206.5,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0
207.5,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0
208.5,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0
209.5,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0
210.5,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0
211.5,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0
212.5,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0
213.5,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0
214.5,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0
215.5,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0
216.5,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0
217.5,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0
218.5,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0
219.5,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0
220.5,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0
221.5,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0
222.5,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0
223.5,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0
224.5,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0
225.5,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0
226.5,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0
227.5,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0
228.5,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0
229.5,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0
230.5,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0
231.5,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0
232.5,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0
233.5,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0
234.5,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0
235.5,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0
236.5,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0
237.5,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0
238.5,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0
239.5,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0
240.5,0,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0,0
241.5,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0
242.5,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0
243.5,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0
244.5,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0
245.5,0,0,0,0,0,0,0,0
246,0.001119792,0,0,0,0,0,0,0
246.5,0,0.000923372,0.004221557,0,-0.000542763,0,0,0
247,6.47E-05,0.001398467,0.004041916,0,-0.000799342,0,0,0
247.5,5.07E-05,0.001340996,0.004101796,0,-0.001473684,0,0,0
248,0.000441503,0.002306513,0.004341317,0,-0.000898026,0.000202406,0,0
248.5,0.000425317,0.002375479,0.003772455,0,-0.000898026,0,0,0
249,0.000614747,0.001731801,0.004161677,0,-0.001365132,0,0,0
249.5,0.00052243,0.000616858,0.004431138,0,-0.002483553,0.000145944,0,0
250,0.000562594,-0.000482759,0.004760479,0,-0.003421053,0,0,0
250.5,0.000868019,8.31E-05,0.004191617,0,-0.002759868,0,0,0
251,0.000610251,0.001076628,0.004311377,0,-0.001526316,0,0,0
251.5,0.000479868,0.001333333,0.003443114,0,-0.001236842,0,0,0
252,0.000246978,0.001873563,0.004071856,0,-0.001039474,0,0,0
252.5,0.000484963,0.001490421,0.00508982,0,-0.001375,0,0,0
253,0.000314717,0.001455939,0.00488024,0,-0.001516447,0,0,0
253.5,0.000371366,0.001720307,0.005149701,0,-0.001460526,0,0,0
254,0.000490059,0.001448276,0.005359281,0,-0.002016447,8.58E-06,0,0
254.5,0.001314317,0.00205364,0.00494012,0,-0.001493421,0,0,0
255,0.001789989,0.002049808,0.005149701,0,-0.001200658,0,0,0
255.5,0.001441402,0.00243295,0.004730539,0,-0.00014375,0,0,0
256,0.00148906,0.002149425,0.00505988,0,9.64E-05,0,0,0
256.5,0.001611349,0.001984674,0.004461078,0,0.000119408,0,0,0
257,0.001463882,0.000670498,0.005239521,0,-0.000792763,0,0,0
257.5,0.001430312,0.001252874,0.00508982,0,-0.000326645,0,0,0
258,0.001409631,0.001452107,0.005688623,0,-0.000257237,0,0,0
258.5,0.001329603,0.000605364,0.005808383,0,-0.001072368,0,0,0
259,0.001298131,0.001812261,0.00502994,0,1.81E-05,0,0,0
259.5,0.0013332,0.00145977,0.005149701,0,-0.000277961,0,0,0
260,0.001303527,0.001636015,0.004790419,0,-9.14E-05,0,0,0
260.5,0.001341892,0.001547893,0.00505988,0,-0.000213487,0,0,0
261,0.001341892,0.001662835,0.005,0,-0.000256908,0,0,0
261.5,0.001341592,0.001800766,0.00491018,0,-0.000253618,0,0,0
262,0.001409331,0.001896552,0.004850299,0,-0.000268092,0,0,0
262.5,0.001451294,0.001931034,0.004820359,0,-0.000313487,0,0,0
263,0.001425517,0.00189272,0.00488024,0,-0.000260855,0,0,0
263.5,0.001394944,0.001942529,0.004850299,0,-0.000241447,0,0,0
264,0.001415925,0.002034483,0.004820359,0,-0.000197368,0,0,0
264.5,0.001476771,0.002084291,0.004790419,0,-0.000191776,0,0,0
265,0.001447997,0.002149425,0.004730539,0,-0.000164145,0,0,0
265.5,0.001413228,0.002214559,0.004730539,0,-0.000137829,0,0,0
266,0.001380257,0.002256705,0.004700599,0,-0.000135855,0,0,0
266.5,0.001380857,0.002298851,0.004700599,0,-0.000127632,0,0,0
267,0.001349685,0.002321839,0.004700599,0,-0.000129605,0,0,0
267.5,0.00131072,0.002314176,0.004700599,0,-0.00015,0,0,0
268,0.00126636,0.002302682,0.004670659,0,-0.000165132,0,0,0
268.5,0.001172245,0.002275862,0.004640719,0,-0.000179934,0,0,0
269,0.001103007,0.002264368,0.004640719,0,-0.0001875,0,0,0
269.5,0.001126086,0.002283525,0.004670659,0,-0.000174342,0,0,0
270,0.001190229,0.002337165,0.004670659,0,-0.000146382,0,0,0
270.5,0.001237586,0.002390805,0.004670659,0,-0.000136184,0,0,0
271,0.001215706,0.002448276,0.004610778,0,-0.000127632,0,0,0
271.5,0.001159656,0.002475096,0.004610778,0,-0.000132566,0,0,0
272,0.00112189,0.002463602,0.004610778,0,-0.000165132,0,0,0
272.5,0.001024777,0.002463602,0.004640719,0,-0.000179276,0,0,0
273,0.000969028,0.002482759,0.004610778,0,-0.000170066,0,0,0
273.5,0.00101069,0.002498084,0.004670659,0,-0.000162829,0,0,0
274,0.00104426,0.002490421,0.004760479,0,-0.000187171,0,0,0
274.5,0.001059846,0.002475096,0.004820359,0,-0.000230592,0,0,0
275,0.001028674,0.002498084,0.004820359,0,-0.000255592,0,0,0
275.5,0.000949245,0.002505747,0.004790419,0,-0.000303947,0,0,0
276,0.000860825,0.002517241,0.004790419,0,-0.000338816,0,0,0
276.5,0.000761614,0.002544061,0.004760479,0,-0.000355263,0,0,0
277,0.000696273,0.00254023,0.004760479,0,-0.000394737,0,0,0
277.5,0.00067799,0.00254023,0.004760479,0,-0.000427632,0,0,0
278,0.000705265,0.00251341,0.004760479,0,-0.000490132,0,0,0
278.5,0.000784694,0.00248659,0.004760479,0,-0.000552632,0,0,0
279,0.000872814,0.00245977,0.004730539,0,-0.000615132,0,0,0
279.5,0.00096693,0.002409962,0.004670659,0,-0.000697368,0,0,0
280,0.000924068,0.002409962,0.004580838,0,-0.000726974,0,0,0
280.5,0.000873713,0.00243295,0.004550898,0,-0.000723684,0,0,0
281,0.00082156,0.002452107,0.004520958,0,-0.000700658,0,0,0
281.5,0.000839844,0.002467433,0.004520958,0,-0.000661184,0,0,0
282,0.000892596,0.002444444,0.004491018,0,-0.000644737,0,0,0
282.5,0.00087761,0.002398467,0.004461078,0,-0.000648026,0,0,0
283,0.000923169,0.002321839,0.004461078,0,-0.000680921,0,0,0
283.5,0.000946848,0.002272031,0.004461078,0,-0.000697368,0,0,0
284,0.001023579,0.002229885,0.004491018,0,-0.000713816,0,0,0
284.5,0.001074533,0.002206897,0.004520958,0,-0.000730263,0,0,0
285,0.001067639,0.002168582,0.004550898,0,-0.000766447,0,0,0
285.5,0.001019982,0.002153257,0.004580838,0,-0.000779605,0,0,0
286,0.001004696,0.002137931,0.004640719,0,-0.000786184,0,0,0
286.5,0.001037966,0.002149425,0.004640719,0,-0.000759868,0,0,0
287,0.001091318,0.002183908,0.004580838,0,-0.000707237,0,0,0
287.5,0.001142571,0.002203065,0.004520958,0,-0.000657895,0,0,0
288,0.001102108,0.002114943,0.004461078,0,-0.000697368,0,0,0
288.5,0.001029873,0.002084291,0.004461078,0,-0.0006875,0,0,0
289,0.001006494,0.002045977,0.004491018,0,-0.0006875,0,0,0
289.5,0.000846438,0.002007663,0.004580838,0,-0.000694079,0,0,0
290,0.000719952,0.001969349,0.004580838,0,-0.000700658,1.92E-05,0,0
290.5,0.000546108,0.001942529,0.004610778,0,-0.000700658,8.20E-05,0,0
291,0.000408832,0.001923372,0.004640719,0,-0.0006875,6.14E-05,0,0
291.5,0.000298831,0.001954023,0.004730539,0,-0.000628289,7.65E-05,0,0
292,0.000262264,0.002011494,0.004790419,0,-0.000546053,6.47E-05,0,0
292.5,0.000209811,0.00205364,0.004850299,0,-0.000480263,5.47E-05,0,0
293,0.000114797,0.002095785,0.00491018,0,-0.000421053,0,0,0
293.5,1.53E-05,0.002122605,0.00494012,0,-0.000391447,2.62E-05,0,0
294,0,0.002149425,0.005,0,-0.000388158,8.67E-05,0,0
294.5,0,0.002183908,0.00505988,0,-0.000394737,0.000158065,0,0
295,0,0.002249042,0.00505988,0,-0.000371711,0.000189941,0,0
295.5,0.000124088,0.002302682,0.00505988,0,-0.000338816,0.000264414,0,0
296,0.000317714,0.002329502,0.00508982,0,-0.000310855,0.000307783,0,0
296.5,0.000490658,0.002363985,0.00508982,0,-0.000259539,0.000328367,0,0
297,0.000629134,0.002386973,0.00508982,0,-0.000204934,0.000350494,0,0
297.5,0.00073284,0.002425287,0.00505988,0,-0.000141776,0.000443264,0,0
298,0.000807173,0.002467433,0.00502994,0,-9.21E-05,0.00047817,0,0
298.5,0.00091088,0.002494253,0.005,0,-7.93E-05,0.000486089,0,0
299,0.001048456,0.002490421,0.00491018,0,-0.000105592,0.000487833,0,0
299.5,0.001142871,0.002490421,0.004850299,0,-0.000136184,0.000482487,0,0
300,0.001253771,0.002467433,0.004820359,0,-0.000176645,0.000411588,0,0
300.5,0.001348186,0.002521073,0.004850299,0,-0.000135526,0.000247404,0,0
301,0.001415326,0.002616858,0.00488024,0,-4.80E-05,9.74E-05,0,0
301.5,0.001406334,0.002639847,0.004850299,0,-7.63E-06,0,0,0
302,0.001323009,0.002662835,0.004820359,0,2.66E-05,0,0,0
302.5,0.001232491,0.002716475,0.004820359,0,7.60E-05,0,0,0
303,0.001148266,0.002750958,0.004820359,0,0.000101645,0,0,0
