Wavelength,UHP-T-405-EP,UHP-T-435-SR,UHP-T-488-SR,UHP-T-545-LA21,UHP-T-596-LA21,UHP-T-630-SR,UHP-T-670-SR,UHP-T-730-SR
200,0,0,0,0,0,0,0,0
200.5,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0
201.5,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0
202.5,0,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0,0
203.5,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0
204.5,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0
205.5,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0
206.5,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0
207.5,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0
208.5,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0
209.5,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0
210.5,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0
211.5,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0
212.5,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0
213.5,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0
214.5,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0
215.5,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0
216.5,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0
217.5,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0
218.5,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0
219.5,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0
220.5,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0
221.5,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0
222.5,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0
223.5,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0
224.5,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0
225.5,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0
226.5,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0
227.5,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0
228.5,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0
229.5,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0
230.5,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0
231.5,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0
232.5,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0
233.5,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0
234.5,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0
235.5,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0
236.5,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0
237.5,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0
238.5,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0
239.5,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0
240.5,0,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0,0
241.5,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0
242.5,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0
243.5,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0
244.5,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0
245.5,0.000907032,0,0,0,0,0,0,0
246,0,7.48E-05,3.42E-05,0,-4.40E-05,0,0,0
246.5,5.24E-05,0.000113276,3.27E-05,0,-6.47E-05,0,0,0
247,4.10E-05,0.000108621,3.32E-05,0,-0.000119368,0,0,0
247.5,1.77E-05,0.000186828,3.52E-05,0,-7.27E-05,1.64E-06,0,0
248,1.70E-05,7.60E-05,9.66E-05,0,-2.87E-05,0,0,0
248.5,2.46E-05,5.54E-05,0.000106539,0,-4.37E-05,0,0,0
249,2.09E-05,1.97E-05,0.000113437,0,-7.95E-05,3.74E-06,0,0
249.5,2.25E-05,-1.54E-05,0.000121868,0,-0.000109474,0,0,0
250,0.000703095,2.66E-06,0.000107305,0,-8.83E-05,0,0,0
250.5,0.000494303,8.72E-05,3.49E-05,0,-0.000123632,0,0,0
251,0.000388693,0.000108,2.79E-05,0,-0.000100184,0,0,0
251.5,0.000200052,0.000151759,3.30E-05,0,-8.42E-05,0,0,0
252,0.00039282,0.000120724,4.12E-05,0,-0.000111375,0,0,0
252.5,1.26E-05,0.000117931,3.95E-05,0,-0.000122832,0,0,0
253,1.49E-05,5.50E-05,0.000131832,0,-4.67E-05,0,0,0
253.5,1.96E-05,4.63E-05,0.000137198,0,-6.45E-05,2.20E-07,0,0
254,5.26E-05,6.57E-05,0.000126467,0,-4.78E-05,0,0,0
254.5,7.16E-05,6.56E-05,0.000131832,0,-3.84E-05,0,0,0
255,0.001167536,7.79E-05,0.000121102,0,-4.60E-06,0,0,0
255.5,0.001206139,0.000174103,4.10E-05,0,7.81E-06,0,0,0
256,0.001305193,0.000160759,3.61E-05,0,9.67E-06,0,0,0
256.5,0.001185744,5.43E-05,4.24E-05,0,-6.42E-05,0,0,0
257,0.001158553,0.000101483,4.12E-05,0,-2.65E-05,0,0,0
257.5,5.64E-05,0.000117621,4.61E-05,0,-2.08E-05,0,0,0
258,5.32E-05,1.94E-05,0.000148695,0,-3.43E-05,0,0,0
258.5,5.19E-05,5.80E-05,0.000128766,0,5.79E-07,0,0,0
259,5.33E-05,4.67E-05,0.000131832,0,-8.89E-06,0,0,0
259.5,5.21E-05,5.24E-05,0.000122635,0,-2.93E-06,0,0,0
260,0.001086933,4.95E-05,0.000129533,0,-6.83E-06,0,0,0
260.5,0.001086933,0.00013469,0.0000405,0,-2.08E-05,0,0,0
261,0.00108669,0.000145862,3.98E-05,0,-2.05E-05,0,0,0
261.5,0.001141558,0.000153621,3.93E-05,0,-2.17E-05,0,0,0
262,0.001175548,0.000156414,3.90E-05,0,-2.54E-05,0,0,0
262.5,5.70E-05,0.00015331,3.95E-05,0,-2.11E-05,0,0,0
263,5.58E-05,6.22E-05,0.000124168,0,-7.73E-06,0,0,0
263.5,5.66E-05,6.51E-05,0.000123401,0,-6.32E-06,0,0,0
264,5.91E-05,6.67E-05,0.000122635,0,-6.14E-06,0,0,0
264.5,5.79E-05,6.88E-05,0.000121102,0,-5.25E-06,0,0,0
265,0.001144715,7.09E-05,0.000121102,0,-4.41E-06,0,0,0
