Wavelength,405EP,425SR,470SR,495SR,545SR,595SR,625SR,650EP
246,-2.14E+01,-2.26E+01,-2.62E+01,-2.11E+01,1.77E+00,2.65E+00,4.03E+00,-2.46E+01
246.5,-2.40E+01,-2.03E+01,-2.24E+01,-2.14E+01,3.20E+00,3.97E+00,2.62E+00,-2.33E+01
247,-2.29E+01,-2.00E+01,-2.07E+01,-2.07E+01,4.26E+00,4.95E+00,4.13E+00,-2.18E+01
247.5,-2.17E+01,-1.94E+01,-1.97E+01,-2.02E+01,5.13E+00,5.87E+00,4.37E+00,-2.10E+01
248,-2.29E+01,-2.13E+01,-2.04E+01,-2.17E+01,3.86E+00,4.09E+00,3.00E+00,-2.18E+01
248.5,-2.30E+01,-2.17E+01,-2.05E+01,-2.15E+01,3.53E+00,3.24E+00,3.00E+00,-2.18E+01
249,-2.18E+01,-2.13E+01,-1.98E+01,-2.04E+01,4.22E+00,4.03E+00,3.76E+00,-2.10E+01
249.5,-2.27E+01,-2.24E+01,-2.10E+01,-2.18E+01,3.27E+00,2.79E+00,2.77E+00,-2.16E+01
250,-2.39E+01,-2.40E+01,-2.25E+01,-2.26E+01,1.66E+00,1.42E+00,1.29E+00,-2.36E+01
250.5,-2.23E+01,-2.27E+01,-2.13E+01,-2.06E+01,3.02E+00,2.82E+00,2.43E+00,-2.24E+01
251,-2.47E+01,-2.49E+01,-2.34E+01,-2.24E+01,1.02E+00,4.29E-01,-2.35E-01,-2.48E+01
251.5,-2.16E+01,-2.15E+01,-1.96E+01,-1.87E+01,4.33E+00,4.37E+00,2.77E+00,-2.18E+01
252,-2.07E+01,-1.96E+01,-1.76E+01,-1.74E+01,5.64E+00,5.77E+00,3.94E+00,-2.07E+01
252.5,-2.50E+01,-2.27E+01,-2.16E+01,-2.12E+01,1.87E+00,2.29E+00,1.41E-01,-2.47E+01
253,-2.57E+01,-2.24E+01,-2.23E+01,-2.14E+01,1.93E+00,2.28E+00,-1.69E-01,-2.50E+01
253.5,-2.45E+01,-2.07E+01,-2.07E+01,-1.98E+01,3.26E+00,3.51E+00,7.17E-01,-2.43E+01
254,-2.55E+01,-2.17E+01,-2.12E+01,-2.11E+01,2.41E+00,2.41E+00,-5.06E-01,-2.54E+01
254.5,-2.49E+01,-2.13E+01,-2.04E+01,-2.07E+01,3.11E+00,3.02E+00,9.07E-03,-2.48E+01
255,-2.46E+01,-2.15E+01,-2.05E+01,-2.08E+01,3.57E+00,3.03E+00,-6.98E-03,-2.50E+01
255.5,-2.42E+01,-2.12E+01,-2.01E+01,-2.08E+01,4.18E+00,3.22E+00,3.56E-01,-2.46E+01
256,-2.41E+01,-2.14E+01,-2.01E+01,-2.10E+01,4.58E+00,2.99E+00,8.09E-01,-2.43E+01
256.5,-2.40E+01,-2.16E+01,-2.03E+01,-2.09E+01,4.76E+00,2.71E+00,1.14E+00,-2.41E+01
257,-2.27E+01,-2.07E+01,-1.95E+01,-2.01E+01,5.82E+00,3.53E+00,2.35E+00,-2.27E+01
257.5,-2.26E+01,-2.05E+01,-1.95E+01,-2.00E+01,6.37E+00,3.60E+00,2.63E+00,-2.27E+01
258,-2.21E+01,-2.00E+01,-1.90E+01,-1.90E+01,6.79E+00,4.15E+00,3.38E+00,-2.24E+01
258.5,-2.19E+01,-1.96E+01,-1.85E+01,-1.86E+01,7.07E+00,4.28E+00,3.49E+00,-2.22E+01
259,-2.31E+01,-2.06E+01,-1.95E+01,-1.99E+01,5.70E+00,3.18E+00,2.35E+00,-2.35E+01
259.5,-2.21E+01,-1.96E+01,-1.84E+01,-1.91E+01,6.50E+00,4.37E+00,3.38E+00,-2.26E+01
260,-2.15E+01,-1.90E+01,-1.79E+01,-1.89E+01,6.84E+00,5.10E+00,3.97E+00,-2.22E+01
260.5,-2.16E+01,-1.90E+01,-1.83E+01,-1.92E+01,6.56E+00,5.07E+00,3.95E+00,-2.25E+01
261,-2.07E+01,-1.81E+01,-1.75E+01,-1.84E+01,7.14E+00,5.96E+00,4.93E+00,-2.16E+01
